loyalty_number,churned
100018,0
100102,0
100140,0
100214,0
100272,0
100301,0
100364,0
100380,0
100428,0
100504,1
100550,0
100585,0
100590,0
100642,0
100644,0
100646,0
100727,0
100737,0
100753,0
100816,0
100853,0
100883,0
100890,0
101018,0
101148,0
101363,0
101487,0
101515,0
101540,0
101544,0
101547,0
101581,0
101594,0
101663,0
101664,0
101709,0
101876,1
101895,0
101902,0
101945,0
102168,0
102184,0
102207,0
102299,0
102311,0
102376,0
102464,0
102726,0
102730,0
102788,0
102851,0
102877,0
102982,0
103151,0
103217,0
103304,0
103340,0
103359,0
103436,0
103490,0
103502,0
103536,0
103699,0
103731,0
103823,0
103860,0
103862,0
103916,0
103969,0
103970,0
104103,0
104267,0
104353,0
104431,0
104541,0
104586,0
104673,0
104732,0
104849,0
104960,0
105063,0
105073,0
105074,0
105214,0
105335,0
105552,0
105688,0
105712,0
105789,0
105835,0
105841,0
105921,0
105932,0
105992,0
106001,0
106037,0
106038,0
106046,0
106218,0
106397,0
106444,0
106477,0
106592,0
106637,0
106689,0
106754,0
106757,0
106776,0
106838,0
106839,0
106936,0
106946,0
106978,0
106979,0
107037,0
107067,0
107119,0
107141,0
107203,0
107212,0
107296,0
107385,0
107420,0
107461,0
107466,0
107487,0
107519,0
107571,0
107649,0
107719,0
107730,0
107902,0
107993,0
108264,0
108346,0
108367,1
108381,0
108430,0
108440,0
108462,0
108528,0
108625,0
108666,0
108857,1
108896,1
108907,0
109022,0
109023,0
109203,0
109478,0
109495,0
109517,0
109552,0
109612,0
109660,0
109767,0
109840,0
109896,0
109903,0
109956,1
110065,0
110099,0
110142,0
110211,1
110262,0
110296,0
110394,0
110422,0
110476,0
110678,0
110691,0
110752,0
111022,0
111034,0
111171,0
111176,0
111255,0
111286,0
111329,0
111485,0
111507,0
111573,0
111584,0
111646,1
111788,0
111899,1
111912,0
112026,0
112142,1
112226,0
112393,0
112522,0
112678,0
112709,0
112732,0
112733,0
112842,0
112856,0
112863,0
113040,0
113220,0
113293,0
113316,0
113363,0
113476,0
113558,0
113679,0
113694,0
113755,0
113779,0
113804,0
113831,0
113839,0
113861,0
113864,0
113874,0
113877,0
113904,0
113919,0
114018,0
114021,0
114131,0
114214,1
114219,0
114242,0
114307,0
114414,0
114493,0
114553,0
114638,0
114700,0
114743,0
114835,0
114857,0
114903,0
114924,1
114927,0
114983,0
115322,0
115354,0
115405,0
115427,0
115505,0
115529,0
115633,0
115705,0
115805,0
115852,0
116016,0
116045,0
116164,0
116207,1
116288,0
116332,0
116372,0
116703,0
116732,0
116735,0
116895,0
116932,0
116948,0
116999,0
117033,0
117053,0
117169,0
117219,0
117240,0
117333,0
117342,0
117408,0
117456,0
117460,0
117482,0
117618,0
117782,0
117910,0
117915,0
117932,0
118076,0
118320,0
118332,0
118355,0
118365,0
118376,1
118379,0
118418,0
118612,0
118628,0
118632,0
118675,0
118729,1
118864,0
119009,0
119015,0
119135,0
119198,0
119200,0
119460,0
119488,0
119519,0
119633,0
119634,0
119638,0
119731,0
119837,0
119845,0
119997,0
120046,0
120126,0
120140,0
120164,0
120192,0
120393,0
120434,0
120554,0
120583,0
120594,0
120799,0
120868,0
121095,0
121139,0
121183,0
121236,1
121351,1
121410,0
121605,0
121710,0
121737,0
121856,0
121919,0
121935,0
122009,0
122020,0
122049,0
122094,0
122166,0
122283,0
122357,0
122456,0
122519,0
122545,0
122577,0
122685,0
122797,0
122890,0
122946,0
122958,0
123083,0
123094,0
123115,0
123164,0
123344,0
123393,0
123420,0
123525,0
123586,0
123667,0
123668,0
123697,0
123702,0
123727,0
123773,0
123908,0
123944,0
124038,0
124056,0
124085,0
124088,0
124119,0
124355,0
124678,0
124761,0
125068,0
125300,0
125393,0
125919,0
125969,0
125996,0
126097,0
126216,0
126219,0
126239,0
126262,0
126424,0
126466,0
126490,1
126581,0
126665,0
127039,0
127127,0
127128,0
127137,0
127185,0
127241,0
127279,0
127289,0
127311,0
127350,0
127400,0
127410,0
127590,0
127645,0
127663,0
127725,0
127785,0
127827,0
127882,0
127946,0
127966,0
128007,0
128032,0
128039,0
128041,0
128156,0
128210,0
128280,0
128325,0
128459,0
128467,0
128475,0
128534,0
128587,0
128611,0
128633,0
128754,1
128789,0
128950,0
128975,0
129030,0
129343,0
129409,0
129429,0
129434,0
129510,0
129515,0
129555,0
129817,0
129827,0
129914,0
129976,0
130032,0
130077,0
130086,0
130208,0
130326,0
130331,0
130368,0
130419,0
130439,1
130446,0
130497,0
130548,0
130593,0
130823,0
130953,0
131001,0
131036,0
131047,0
131098,0
131228,0
131253,1
131257,0
131321,0
131342,0
131463,0
131558,0
131560,0
131673,0
131680,0
131721,0
131761,0
131772,0
131815,0
131893,0
131956,0
131990,0
131997,0
132045,0
132209,0
132296,0
132319,0
132320,0
132337,0
132552,0
132592,0
132705,0
132756,0
132774,0
132884,0
132914,0
132935,0
133035,0
133065,0
133066,0
133128,0
133324,0
133429,0
133518,0
133608,0
133698,0
133730,0
133732,0
133821,0
133859,0
133956,0
134085,0
134148,0
134180,0
134202,0
134241,0
134273,0
134397,0
134470,0
134717,0
134738,0
134760,0
134857,0
135016,0
135076,0
135134,0
135250,0
135257,0
135279,0
135312,0
135381,0
135382,0
135392,0
135421,0
135554,0
135574,0
135578,0
135808,0
135878,1
135977,0
136020,0
136022,0
136049,0
136089,0
136106,0
136121,0
136169,0
136232,0
136334,0
136430,0
136470,0
136473,0
136516,0
136547,0
136608,0
136637,0
136715,0
136772,1
136879,0
136906,0
137040,0
137106,0
137161,0
137185,0
137227,0
137529,1
137646,0
137744,0
137751,0
137845,0
137850,0
137852,0
137858,0
137952,0
137968,0
137973,0
137985,0
137999,0
138025,1
138065,1
138121,0
138204,0
138369,0
138421,0
138475,0
138565,0
138737,0
138746,0
138768,0
138810,0
138853,0
138873,1
138894,0
138896,0
138908,0
138981,0
138993,0
139022,0
139023,0
139087,0
139135,0
139479,1
139511,0
139518,0
139532,0
139863,0
139932,0
140005,0
140077,0
140079,0
140130,1
140191,0
140208,0
140290,0
140381,0
140391,0
140392,0
140419,0
140483,0
140534,0
140598,0
140674,0
140750,0
140768,0
140823,0
140891,0
140977,0
141023,0
141043,1
141047,0
141139,0
141181,0
141233,0
141266,0
141456,0
141497,0
141614,0
141655,0
141703,0
141742,0
141844,0
141877,0
