loyalty_number,total_flights_historical,total_distance_historical,total_points_accumulated,total_points_redeemed,tenure_months,clv,loyalty_card,salary,province,marital_status,education,gender,enrollment_year,churned
100018,29,44813.0,44813.0,1128,18,7919.2,Aurora,92552.0,Alberta,Married,Bachelor,Female,2016,0
100102,34,50123.0,50123.0,1195,18,2887.74,Nova,73544.0,Ontario,Single,College,Male,2013,0
100140,36,52368.0,52368.0,593,18,2838.07,Nova,73544.0,British Columbia,Divorced,College,Female,2016,0
100214,13,23915.0,23915.0,861,18,4170.57,Star,63253.0,British Columbia,Married,Bachelor,Male,2015,0
100272,28,38585.0,38585.0,1007,18,6622.05,Star,91163.0,Ontario,Divorced,Bachelor,Female,2014,0
100301,33,51629.0,51629.0,371,18,48356.96,Nova,70323.0,Ontario,Divorced,Bachelor,Male,2013,0
100364,26,36824.0,36824.0,559,18,5143.88,Nova,76849.0,Saskatchewan,Married,Bachelor,Male,2015,0
100380,22,33402.0,33402.0,1142,18,2465.62,Star,69695.0,Quebec,Single,Bachelor,Female,2012,0
100428,20,36628.0,36628.0,804,18,5845.43,Aurora,63478.0,British Columbia,Married,Bachelor,Male,2012,0
100504,19,27837.0,27837.0,0,18,8807.61,Nova,75638.0,Ontario,Divorced,Bachelor,Female,2017,1
100550,35,36423.0,36423.0,431,18,7861.8,Nova,54133.0,Quebec,Married,Bachelor,Female,2013,0
100585,30,49274.0,49274.0,1565,18,7334.33,Star,96269.0,Manitoba,Divorced,Bachelor,Male,2013,0
100590,16,21780.0,32670.0,0,5,34090.04,Star,69841.0,British Columbia,Married,Bachelor,Female,2018,0
100642,25,41913.0,41913.0,502,18,4892.63,Nova,51667.0,Quebec,Married,Bachelor,Female,2012,0
100644,22,38194.0,38194.0,921,18,4458.11,Star,94440.0,Alberta,Divorced,Master,Female,2015,0
100646,22,31484.0,31484.0,0,18,2471.53,Star,101933.0,Newfoundland,Married,Bachelor,Female,2015,0
100727,38,57631.0,57631.0,1217,18,3873.65,Nova,128118.0,Quebec,Married,Master,Male,2014,0
100737,32,41830.0,41830.0,1048,18,12786.67,Star,73544.0,British Columbia,Single,College,Female,2017,0
100753,48,59916.0,59916.0,340,18,2534.31,Star,47717.0,Quebec,Divorced,Bachelor,Male,2015,0
100816,18,26996.0,26996.0,0,18,6273.91,Aurora,97497.0,Ontario,Divorced,Master,Female,2013,0
