loyalty_number,total_flights_historical,total_distance_historical,total_points_accumulated,total_points_redeemed,tenure_months,clv,loyalty_card,salary,province,marital_status,education,gender,enrollment_year,churned,redemption_ratio
100018,29,44813.0,44813.0,1128,18,7919.2,Aurora,92552.0,Alberta,Married,Bachelor,Female,2016,0,0.025171267266195077
100102,34,50123.0,50123.0,1195,18,2887.74,Nova,73544.0,Ontario,Single,College,Male,2013,0,0.023841350278315344
100140,36,52368.0,52368.0,593,18,2838.07,Nova,73544.0,British Columbia,Divorced,College,Female,2016,0,0.011323709135349832
100214,13,23915.0,23915.0,861,18,4170.57,Star,63253.0,British Columbia,Married,Bachelor,Male,2015,0,0.03600250888563663
100272,28,38585.0,38585.0,1007,18,6622.05,Star,91163.0,Ontario,Divorced,Bachelor,Female,2014,0,0.02609822469871712
100301,33,51629.0,51629.0,371,18,48356.96,Nova,70323.0,Ontario,Divorced,Bachelor,Male,2013,0,0.007185883902457921
100364,26,36824.0,36824.0,559,18,5143.88,Nova,76849.0,Saskatchewan,Married,Bachelor,Male,2015,0,0.015180317184444927
100380,22,33402.0,33402.0,1142,18,2465.62,Star,69695.0,Quebec,Single,Bachelor,Female,2012,0,0.03418956948685707
100428,20,36628.0,36628.0,804,18,5845.43,Aurora,63478.0,British Columbia,Married,Bachelor,Male,2012,0,0.021950420443376653
100504,19,27837.0,27837.0,0,18,8807.61,Nova,75638.0,Ontario,Divorced,Bachelor,Female,2017,1,0.0
100550,35,36423.0,36423.0,431,18,7861.8,Nova,54133.0,Quebec,Married,Bachelor,Female,2013,0,0.011833182329846526
100585,30,49274.0,49274.0,1565,18,7334.33,Star,96269.0,Manitoba,Divorced,Bachelor,Male,2013,0,0.03176117222064375
100590,16,21780.0,32670.0,0,5,34090.04,Star,69841.0,British Columbia,Married,Bachelor,Female,2018,0,0.0
100642,25,41913.0,41913.0,502,18,4892.63,Nova,51667.0,Quebec,Married,Bachelor,Female,2012,0,0.011977190847708348
100644,22,38194.0,38194.0,921,18,4458.11,Star,94440.0,Alberta,Divorced,Master,Female,2015,0,0.024113735141645283
100646,22,31484.0,31484.0,0,18,2471.53,Star,101933.0,Newfoundland,Married,Bachelor,Female,2015,0,0.0
100727,38,57631.0,57631.0,1217,18,3873.65,Nova,128118.0,Quebec,Married,Master,Male,2014,0,0.02111710711249154
100737,32,41830.0,41830.0,1048,18,12786.67,Star,73544.0,British Columbia,Single,College,Female,2017,0,0.025053789146545543
100753,48,59916.0,59916.0,340,18,2534.31,Star,47717.0,Quebec,Divorced,Bachelor,Male,2015,0,0.005674611122237799
100816,18,26996.0,26996.0,0,18,6273.91,Aurora,97497.0,Ontario,Divorced,Master,Female,2013,0,0.0
100853,25,33294.0,33294.0,579,18,10153.89,Star,73544.0,Ontario,Married,College,Male,2016,0,0.017390520814561182
100883,20,37249.0,37249.0,0,18,3561.04,Star,73544.0,Manitoba,Single,College,Female,2013,0,0.0
100890,15,23839.0,23839.0,341,18,8007.4,Nova,73544.0,Ontario,Divorced,College,Female,2014,0,0.014304291287386216
101018,32,56084.0,56084.0,681,18,4392.98,Nova,56523.0,Ontario,Married,Bachelor,Female,2014,0,0.012142500534911917
101148,25,37480.0,37480.0,714,18,4770.55,Nova,45229.0,British Columbia,Single,High School or Below,Female,2012,0,0.019050160085378867
101363,23,40553.0,40553.0,1378,18,12898.59,Star,59310.0,New Brunswick,Married,Bachelor,Female,2016,0,0.03398022341133825
101487,36,44807.0,44807.0,2912,18,14024.36,Aurora,91817.0,Quebec,Married,Bachelor,Male,2012,0,0.06498984533666614
101515,20,34116.0,34116.0,2043,18,7737.27,Nova,68711.0,New Brunswick,Married,Bachelor,Male,2014,0,0.05988392543088287
101540,19,36404.0,36404.0,931,18,2688.88,Star,69020.0,Ontario,Single,Bachelor,Female,2017,0,0.0255741127348643
101544,30,48614.0,48614.0,0,18,24249.34,Nova,56531.0,Quebec,Married,Bachelor,Female,2014,0,0.0
101547,6,10342.0,10342.0,0,18,5619.69,Star,73544.0,Ontario,Married,College,Female,2017,0,0.0
101581,23,31191.0,31191.0,1104,18,4595.46,Star,87781.0,Ontario,Married,Bachelor,Male,2012,0,0.03539482543041262
101594,30,37256.0,37256.0,752,18,5205.75,Star,239867.0,Ontario,Divorced,Doctor,Male,2015,0,0.020184668241357097
101663,29,47070.0,47070.0,961,18,5129.74,Aurora,94946.0,Ontario,Married,Bachelor,Male,2016,0,0.020416401104737626
101664,22,27697.0,27697.0,0,18,9002.41,Aurora,87654.0,Nova Scotia,Married,Bachelor,Male,2013,0,0.0
101709,36,55430.0,55430.0,456,18,8396.61,Aurora,66733.0,New Brunswick,Single,Bachelor,Female,2015,0,0.0082265920981418
101876,12,18264.0,18264.0,1187,18,4949.53,Aurora,73544.0,Quebec,Single,College,Male,2017,1,0.06499123959702147
101895,20,37544.0,37544.0,0,18,24543.2,Nova,81883.0,Ontario,Single,Bachelor,Female,2013,0,0.0
101902,31,43211.0,43211.0,366,18,6265.34,Aurora,73544.0,Ontario,Married,College,Female,2017,0,0.008470065492582907
101945,28,52750.0,52750.0,678,18,4202.66,Star,86098.0,Nova Scotia,Married,Bachelor,Male,2013,0,0.01285308056872038
102168,10,17314.0,17314.0,0,18,7166.34,Nova,75265.0,Ontario,Divorced,Bachelor,Female,2018,0,0.0
