loyalty_number,total_flights_sum,total_flights_mean,total_flights_max,total_flights_std,points_accumulated_sum,points_accumulated_mean,points_redeemed_sum,points_redeemed_mean,distance_sum,distance_mean,months_with_flights,tenure_months,activity_rate,hyperbolic_flight_score,hyperbolic_distance_score,flights_last_3m,flights_last_6m,flights_last_12m,recency_ratio,total_pts_accumulated,total_pts_redeemed,net_unredeemed_points,redemption_ratio,recent_redemption_ratio,redemption_trend,loss_aversion_score,tier_rank,flight_trajectory,flights_first_6m_avg,flights_last_6m_avg,flight_cv,longest_active_streak,months_since_last_flight,mean_fe_deviation,std_fe_deviation,seasonal_volatility,last_flight_quarter,last_flight_month_of_year,clv,salary,province,marital_status,education,gender,enrollment_year,clv_percentile,churned
100018,29,1.6111111111111112,4,1.3779306261410682,44813.0,2489.6111111111113,1128,62.666666666666664,44813.0,2489.6111111111113,13,18,0.7222222222222222,10.92015433067072,14530.590755862508,1,5,22,0.045454545454545456,44813.0,1128,43685.0,0.025171267266195077,0.0,-0.025171267266195077,0.3772998698404943,3,-0.33333333333333337,1.1666666666666667,0.8333333333333334,0.8552672851910078,7,2,0.1545889927562431,1.389976165658973,1.0555555555555556,2,4,7919.2,92552.0,0,1,0,0,2016,0.6624860853432282,0
100102,34,1.8888888888888888,5,1.604731565930206,50123.0,2784.6111111111113,1195,66.38888888888889,50123.0,2784.6111111111113,12,18,0.6666666666666666,13.670325944268615,18093.95379606547,7,9,23,0.30434782608695654,50123.0,1195,48928.0,0.023841350278315344,0.0,-0.023841350278315344,0.42334688676455673,2,-0.33333333333333326,1.8333333333333333,1.5,0.8495637701983444,5,0,0.42692310989840493,1.6126554392647012,1.111111111111111,2,6,2887.74,73544.0,6,2,1,1,2013,0.14890538033395176,0
100140,36,2.0,5,1.7149858514250884,52368.0,2909.3333333333335,593,32.94444444444444,52368.0,2909.3333333333335,13,18,0.7222222222222222,17.7481869546988,27717.371639982794,8,14,28,0.2857142857142857,52368.0,593,51775.0,0.011323709135349832,0.028528817473299335,0.017205108337949505,0.4538171430133582,2,1.0000000000000002,1.3333333333333333,2.3333333333333335,0.8574929257125442,3,0,0.5380342210095161,1.7095587541837434,1.5,2,6,2838.07,73544.0,1,0,1,0,2016,0.13799628942486086,0
100214,13,0.7222222222222222,3,1.1274936053323579,23915.0,1328.611111111111,861,47.833333333333336,23915.0,1328.611111111111,6,18,0.3333333333333333,6.4833027342584435,12285.062053519712,2,3,11,0.18181818181818182,23915.0,861,23054.0,0.03600250888563663,0.0,-0.03600250888563663,0.19617207299603587,1,0.16666666666666669,0.3333333333333333,0.5,1.5611449919986493,2,0,-0.7317447679217446,1.1338349810766732,1.0694444444444444,2,6,4170.57,63253.0,1,1,0,1,2015,0.2687569573283859,0
100272,28,1.5555555555555556,5,1.854159781877502,38585.0,2143.6111111111113,1007,55.94444444444444,38585.0,2143.6111111111113,10,18,0.5555555555555556,9.757028233813088,11500.269536363168,6,8,14,0.42857142857142855,38585.0,1007,37578.0,0.02609822469871712,0.06079809882166551,0.03469987412294839,0.3240281160765053,1,-1.0000000000000002,2.3333333333333335,1.3333333333333333,1.191959859778394,4,0,0.10158856541158873,1.8580227207921345,1.0555555555555556,2,6,6622.05,91163.0,6,0,0,0,2014,0.5591094619666048,0
100301,33,1.8333333333333333,6,1.855040827202527,51629.0,2868.277777777778,371,20.61111111111111,51629.0,2868.277777777778,12,18,0.6666666666666666,7.830236909992155,14110.89101300216,0,2,17,0.0,51629.0,371,51258.0,0.007185883902457921,0.1439100077579519,0.13672412385549398,0.4511500275616032,2,-2.333333333333333,2.6666666666666665,0.3333333333333333,1.0118404512013783,10,4,0.3713675543428494,1.8800226750574953,1.0833333333333333,1,2,48356.96,70323.0,6,0,0,1,2013,0.9976252319109462,0
100364,26,1.4444444444444444,5,1.7225911474978353,36824.0,2045.7777777777778,559,31.055555555555557,36824.0,2045.7777777777778,9,18,0.5,9.09379795973639,11943.871445337185,4,4,16,0.25,36824.0,559,36265.0,0.015180317184444927,0.0,-0.015180317184444927,0.31615684612683426,2,-1.0,1.6666666666666667,0.6666666666666666,1.192563102113886,5,0,-0.017521334546039474,1.7368216793617115,1.5555555555555556,2,6,5143.88,76849.0,9,1,0,1,2015,0.40523191094619665,0
100380,22,1.2222222222222223,4,1.3527990831890464,33402.0,1855.6666666666667,1142,63.44444444444444,33402.0,1855.6666666666667,11,18,0.6111111111111112,7.8855373390276675,14183.771931012638,1,5,15,0.06666666666666667,33402.0,1142,32260.0,0.03418956948685707,0.0,-0.03418956948685707,0.2756420124278774,1,-0.33333333333333337,1.1666666666666667,0.8333333333333334,1.1068356135183106,5,0,-0.23174476792174462,1.3616127028154652,1.3333333333333333,2,6,2465.62,69695.0,8,2,0,0,2012,0.046493506493506497,0
100428,20,1.1111111111111112,4,1.450715397105405,36628.0,2034.888888888889,804,44.666666666666664,36628.0,2034.888888888889,9,18,0.5,7.522741646052764,13766.130400195627,1,8,13,0.07692307692307693,36628.0,804,35824.0,0.021950420443376653,0.0,-0.021950420443376653,0.3101462016369792,3,0.16666666666666652,1.1666666666666667,1.3333333333333333,1.3056438573948643,2,1,-0.3454110072437569,1.4477949791087144,1.125,2,5,5845.43,63478.0,1,1,0,1,2012,0.5085343228200371,0
100504,19,1.0555555555555556,4,1.5519332240873458,27837.0,1546.5,0,0.0,27837.0,1546.5,6,18,0.3333333333333333,9.649829535034927,14004.992872563893,0,6,19,0.0,27837.0,0,27837.0,0.0,0.0,0.0,0.24605048799078144,2,1.0,0.0,1.0,1.4702525280827485,5,4,-0.4064102234349284,1.553591488393874,1.5833333333333333,1,2,8807.61,75638.0,6,0,0,0,2017,0.7423376623376623,1
