loyalty_number,total_flights_sum,total_flights_mean,total_flights_max,total_flights_std,points_accumulated_sum,points_accumulated_mean,points_redeemed_sum,points_redeemed_mean,distance_sum,distance_mean,months_with_flights,tenure_months,activity_rate,hyperbolic_flight_score,hyperbolic_distance_score,flights_last_3m,flights_last_6m,flights_last_12m,recency_ratio,total_pts_accumulated,total_pts_redeemed,net_unredeemed_points,redemption_ratio,recent_redemption_ratio,redemption_trend,loss_aversion_score,tier_rank,flight_trajectory,flights_first_6m_avg,flights_last_6m_avg,flight_cv,longest_active_streak,months_since_last_flight,mean_fe_deviation,std_fe_deviation,seasonal_volatility,last_flight_quarter,last_flight_month_of_year,clv,salary,province,marital_status,education,gender,enrollment_year,clv_percentile
100018,0.0478482,-0.018006165,0.0042933803,-0.10430117,-0.058988743,-0.2094826,0.03500622,-0.20473187,-0.12237617,0.043166004,0.14711793,0.0,-0.25948587,-0.3366797,-0.44822922,-0.22672674,-0.14274734,-0.10615478,-0.47611523,0.012844031,0.0047056116,-0.178115,-0.12108434,-0.02549274,-0.5140387,-0.19177905,-0.10568803,-0.035112157,-0.23153408,-0.029721677,-0.7714548,0.16590536,0.06142395,0.14593588,-0.21100743,-0.18155645,-0.0001029757,0.007808182,-0.23110336,-0.13216662,-0.31989607,-0.028066022,0.022168592,-0.043333452,-0.030544708,-0.022730092
100102,-0.03734089,-0.07515605,0.027537229,-0.15771195,-0.12226624,-0.18367681,0.024373135,-0.1782605,0.031235527,0.095915906,-0.14645113,0.0,-0.08213878,-0.39330262,-0.08617341,-0.53735685,-0.17187406,-0.0673527,-0.42719033,-0.05203848,0.01575131,0.19390464,-0.11155549,-0.020758245,-0.65138316,-0.21362855,-0.059770167,-0.023554115,-0.068332866,-0.09371194,-0.329907,0.031848963,-0.81332886,-0.08715264,-0.18641233,-0.09426548,-0.0008936713,-0.035241064,-0.1806517,-0.16170487,-0.051599946,0.020644972,-0.0060813925,0.013576388,0.07290468,-0.14817151
100140,0.032058842,-0.066111624,0.029065508,0.0009933698,-0.2150247,-0.38753116,-0.045366645,-0.040409375,0.01013414,0.037577443,0.19531469,0.0,-0.15286015,-0.0810754,-0.7798815,-0.42170885,-0.03032859,0.13648738,-0.5499048,-0.072143,0.023662226,0.020689515,-0.14227146,-0.39860576,-0.64135915,-0.4662826,-0.10037126,-0.11943162,-0.18431005,-0.07257004,-0.23980401,-0.07891026,-0.78853244,-0.07382767,0.04862086,0.11471857,-0.0010904219,-0.035829592,-0.3025516,-0.06533419,-0.117195636,-0.05113258,0.0003438295,-0.017026411,-0.0067976727,-0.16071644
100214,-0.1082091,0.042596996,0.04690355,-0.08389576,-0.1198728,0.024430081,-0.07963719,-0.21487236,-0.07577352,-0.062340576,-0.019342752,0.0,0.2064629,-0.058548216,-0.2005925,-0.3206604,-0.15126301,-0.060899768,-0.47668967,0.02199754,-0.004083261,-0.053055342,-0.02222445,0.0094122235,-0.747278,0.008847497,-0.0062456387,-0.12786634,-0.16470419,-0.03053862,0.1794503,-0.28148124,-0.9318898,-0.043879442,-0.018127283,-0.034375504,0.0002780485,-0.042197462,0.10756387,-0.07510645,-0.10159005,-0.037633426,0.004822743,0.021746045,-0.31291997,0.11831472
100272,-0.052266084,-0.06086631,0.0042352034,-0.22915444,-0.0591378,-0.046345223,-0.07516698,-0.14269142,0.03836054,0.071484074,-0.1502915,0.0,-0.12095547,-0.22383168,-0.062941045,-0.23100598,-0.118585244,-0.019491404,-0.3937035,-0.020789927,0.032313753,-0.0067633395,-0.11048061,-0.24027066,-0.38207918,-0.045813344,-0.07112504,-0.088916145,-0.056940544,-0.006519583,-0.33427954,0.007454284,-1.002746,0.056487974,-0.031351134,-0.1659588,-0.0008917911,-0.06378162,-0.091756865,-1.0214366,-0.07679412,-0.039561506,0.04299598,-0.033715293,-0.12929705,-0.068204716
100301,-0.055099137,-0.084631756,-0.16896467,-0.21631658,-0.28549406,-0.27602896,-0.27538207,-0.12839419,-0.0794189,0.13582608,-0.14236255,0.0,-0.25751016,-0.19910377,-0.41200876,0.47465873,-0.26805562,-0.021231221,0.43498048,-0.023554565,-0.043238863,0.060771562,-0.15155454,-0.5112737,-0.91846544,-0.49468198,-0.030406231,-0.065306336,0.009453492,-0.0095164515,-0.7825786,-0.1677612,0.2753524,0.037380982,-0.09708161,-0.28087053,0.0018838551,0.069130205,-1.1955221,-0.5942313,-0.07860526,-0.049584705,0.0383153,0.026197027,-0.26779258,-0.29535553
100364,0.0017326968,0.003282047,0.0013182361,-0.009794783,-0.08636647,-0.104178816,-0.020000614,-0.06674762,-0.13160966,-0.06615119,-0.14625697,0.0,-0.07692997,0.089383624,-0.10951469,-0.36668006,-0.1750161,-0.08583162,-0.7889511,-0.023292402,0.022193551,-0.043462027,0.04561202,0.07522031,0.06432417,-0.04590512,-0.028585888,-0.31149912,-0.09504093,-0.063940644,-0.13334836,0.047057167,-0.929974,0.05336656,-0.09092561,0.020882722,-0.0022101183,-0.07087881,-0.030641468,-0.10685049,0.2177536,-0.03683671,0.014676936,0.012169378,-0.021759583,0.004170037
100380,-0.05985277,0.02315792,0.005825977,-0.08022428,-0.007182578,0.012699087,-0.06636768,-0.30558547,-0.10056688,-0.055152137,0.029832276,0.0,0.12112468,-0.29063925,-0.40005934,-0.30185157,-0.1278623,-0.00022331518,-0.5107055,-0.008453902,-0.0027583535,-0.045252763,-0.035345282,-0.02936933,-0.7023326,-0.025130877,-0.025828972,-0.08833969,-0.16971998,-0.06289329,-0.74934226,-0.004046414,-0.9450547,-0.0420103,-0.16367471,0.024400033,0.00037784842,-0.032531317,-0.17152818,-0.060438335,-0.014863346,0.07152367,0.0043319874,-0.027685085,-0.6536222,-0.0797088
100428,-0.054846488,0.016969088,-0.0011585745,-0.13199173,-0.08098228,-0.12705313,-0.045177866,-0.17511664,-0.13522814,-0.055971406,-0.15865839,0.0,-0.11229999,-0.11927164,-0.30761725,-0.23998573,-0.08200604,0.06945305,-0.3768368,-0.009470235,-0.008229893,-0.008661211,-0.08773848,-0.025998289,-0.5826847,0.044945918,0.016246742,-0.08473642,-0.28645173,-0.033651866,-0.21302158,-0.24811557,-0.6562044,-0.09193262,-0.15524153,-0.25868466,-0.00035443204,0.003575742,-0.22451946,-0.23102067,-0.1145183,-0.03904275,0.0081785545,0.011480944,-0.70453864,-0.14047162
100504,-0.10565547,-0.026785828,0.039822318,-0.01861301,0.008719314,0.09465205,-0.060883317,0.042790465,0.07493433,-0.02412534,0.014074153,0.0,0.15497297,-0.019476853,-0.22981474,0.47512946,-0.18298943,0.022491693,0.74655914,0.0023793394,-0.013854653,0.041199792,-0.06290594,0.05244712,0.13578112,0.14010315,0.023900496,-0.028636971,0.401879,-0.027853154,0.22156051,0.061228108,1.1232085,-0.096762165,0.0023114902,0.09178639,-0.002830848,0.087725885,-0.1515471,-0.12178114,0.014418142,-0.011747541,0.0017318407,-0.027923284,0.2114079,-0.022663541
