loyalty_number,churned,churn_prob,risk_bucket,priority_score,priority_rank,clv,behavioral_clv,clv_rank,bclv_rank,rank_gap,cluster,cluster_label,rfm_segment,RFM_score,RFM_total
100018,0,0.00939725,Low (<25%),56.70720850057772,7624.0,7919.2,6034.447152153845,4549.0,5365.0,-816.0,1,Moderate Risk,Hibernating,133,7
100102,0,0.008440218,Low (<25%),24.1674403846976,10186.0,2887.74,2863.36684487268,11469.5,10351.0,1118.5,1,Moderate Risk,Loyal,441,9
100140,0,0.004093729,Low (<25%),11.5707273345248,11732.0,2838.07,2826.45171053697,11616.5,10440.0,1176.5,1,Moderate Risk,Loyal,441,9
100214,0,0.028957577,Low (<25%),117.27240686235398,5120.0,4170.57,4049.80039809111,9854.5,8582.0,1272.5,1,Moderate Risk,Recent Low-Freq,412,7
100272,0,0.0063046697,Low (<25%),41.48661904834918,8580.0,6622.05,6580.300162013115,5942.0,4816.0,1126.0,1,Moderate Risk,Champions,433,10
100301,0,0.0013571668,Low (<25%),40.96211993311493,8628.0,48356.96,30182.08221208692,33.0,183.0,-150.0,1,Moderate Risk,At-Risk High-Value,144,9
100364,0,0.05553494,Low (<25%),269.80067480197357,2648.0,5143.88,4858.2149328328,8015.5,7145.0,870.5,1,Moderate Risk,Recent Low-Freq,422,8
100380,0,0.0045390027,Low (<25%),11.140657788912137,11798.0,2465.62,2454.428544162826,12849.5,11353.0,1496.5,1,Moderate Risk,Recent Low-Freq,421,7
100428,0,0.004167728,Low (<25%),21.096197754045594,10513.0,5845.43,5061.798119753879,6623.5,6786.0,-162.5,1,Moderate Risk,Hibernating,223,7
100504,1,0.9783909,Critical (>75%),116.3823647202494,5148.0,8807.61,118.95282828187527,3473.0,13123.0,-9650.0,1,Moderate Risk,Lost,113,5
100550,0,0.008588819,Low (<25%),66.94362943127472,7071.0,7861.8,7794.276422785801,4606.5,3616.0,990.5,1,Moderate Risk,Champions,443,11
100585,0,0.020098403,Low (<25%),125.6049115239738,4869.0,7334.33,6249.49711297827,5259.5,5152.0,107.5,1,Moderate Risk,Needs Attention,233,8
100590,0,0.004877229,Low (<25%),165.45401955259385,3994.0,34090.04,33923.77506830084,162.5,121.0,41.5,0,Loyal Champions,Recent Low-Freq,414,9
100642,0,0.00692996,Low (<25%),33.67076484077925,9215.0,4892.63,4858.7242698052005,8576.5,7143.0,1433.5,1,Moderate Risk,Recent Low-Freq,422,8
100644,0,0.0065631736,Low (<25%),25.275926665526516,10071.0,4458.11,3851.1744783844383,9438.5,8875.0,563.5,1,Moderate Risk,Hibernating,222,6
100646,0,0.004375472,Low (<25%),10.766793475284235,11857.0,2471.53,2460.7158896878404,12822.0,11337.0,1485.0,1,Moderate Risk,Recent Low-Freq,421,7
100727,0,0.0016990005,Low (<25%),6.570151598280018,12508.0,3873.65,3867.068666713175,10245.5,8848.0,1397.5,1,Moderate Risk,Loyal,441,9
100737,0,0.01415803,Low (<25%),178.47097184355817,3763.0,12786.67,12605.635942539899,1897.5,1549.0,348.5,1,Moderate Risk,Champions,434,11
100753,0,0.0027483734,Low (<25%),6.9460871379712055,12457.0,2534.31,2527.344769808646,12584.5,11139.0,1445.5,1,Moderate Risk,Loyal,441,9
100816,0,0.05368238,Low (<25%),219.80571027729061,3153.0,6273.91,4094.5597098580693,6218.5,8508.0,-2289.5,1,Moderate Risk,Lost,113,5
100853,0,0.051334303,Low (<25%),429.98715363004584,1664.0,10153.89,8376.214899227245,2677.0,3097.0,-420.0,1,Moderate Risk,Hibernating,224,8
100883,0,0.03514312,Low (<25%),120.74803317969086,5006.0,3561.04,3435.8939439552,10635.5,9524.0,1111.5,1,Moderate Risk,Recent Low-Freq,421,7
100890,0,0.07389947,Low (<25%),421.54857721032477,1696.0,8007.4,5704.351833786153,4450.5,5754.0,-1303.5,1,Moderate Risk,Lost,113,5
